,state,Connected to All weather road,Internal Pucca Roads (Cc/ Brick Road),Public Transport,Public Distribution System(PDS),Piped tap water,Drainage facilities,Community waste disposal system,Community bio gas or recycle of waste for production use,Aanganwadi Centre,Children under 5 years who are wasted (weight-for-height)18 (%),classify
0,AP(0),979,1006,1135,1128,1182,922,586,146,1174,19.3,High
1,AP(0),1701,1738,1806,1693,1912,1526,1280,424,1768,14.8,Low
2,AP(0),960,938,998,932,1060,593,577,105,986,14.1,Low
3,AP(0),1336,1343,1553,1331,1681,1269,603,163,1629,14.3,Low
4,AP(0),968,911,1025,1016,868,973,557,97,1059,17.8,Low
5,AP(0),999,912,1020,1024,1075,873,657,172,1070,14.3,Low
6,AP(0),882,935,1011,1018,1050,930,411,72,1050,16.7,Low
7,AP(0),1122,1056,1218,1115,1257,902,508,125,1203,17.2,Low
8,AP(0),1052,1071,1207,1146,1163,1046,560,139,1222,8.7,Low
9,AP(0),1515,1568,1766,1609,1613,1609,518,166,1750,19.5,High
10,AP(0),1713,1885,2450,1543,2749,1689,568,196,2449,21.5,High
11,AP(0),1134,1222,1388,1216,1496,1463,599,140,1522,19.2,High
12,AP(0),973,921,990,940,1073,999,684,172,1048,11.7,Low
13,AR(1),130,62,83,162,231,109,2,0,249,16.3,Low
14,AR(1),44,32,1,36,130,11,1,1,33,18.1,Low
15,AR(1),61,41,34,88,213,121,4,9,123,15.8,Low
16,AR(1),103,72,100,86,111,100,10,2,112,8.6,Low
17,AR(1),37,25,22,151,289,90,10,2,83,15.1,Low
18,AR(1),35,13,28,23,91,12,36,2,76,12.7,Low
19,AR(1),108,34,148,147,204,72,19,4,148,7.6,Low
20,AR(1),192,188,107,146,361,293,2,1,174,11.5,Low
21,AR(1),180,154,205,190,423,239,11,6,320,9,Low
22,AR(1),145,85,102,32,230,196,99,2,124,7.1,Low
23,AR(1),66,29,35,48,93,66,14,1,87,13.8,Low
24,AR(1),45,29,10,78,88,56,7,0,84,12.5,Low
25,AR(1),112,102,62,223,326,204,2,0,350,12.2,Low
26,AR(1),148,142,144,72,288,226,46,2,196,23.2,High
27,AR(1),66,41,30,113,146,114,26,0,139,15.1,Low
28,AR(1),10,4,1,28,241,16,0,1,173,14.3,Low
29,AR(1),40,27,3,54,47,36,0,0,72,20.6,High
30,AR(1),57,15,7,98,115,85,8,0,87,9.4,Low
31,AR(1),1,1,0,5,7,4,0,0,3,18.7247392,Low
32,AR(1),142,80,147,33,59,101,34,1,169,12.4,Low
33,AR(1),48,25,23,98,105,77,2,0,102,12.1,Low
34,AR(1),119,62,83,90,212,104,17,1,87,18.7247392,Low
35,AR(1),51,30,54,60,106,30,32,0,100,18.7247392,Low
36,AR(1),44,16,24,24,59,38,0,0,59,18.7247392,Low
37,AR(1),53,49,15,50,80,71,13,0,78,18.7247392,Low
38,AR(1),17,20,15,47,71,66,14,0,44,18.7247392,Low
39,AS(2),319,311,498,387,146,85,24,17,737,19.5,High
40,AS(2),238,223,329,348,124,104,4,3,475,20.2,High
41,AS(2),504,328,846,579,576,577,47,35,832,30.7,High
42,AS(2),204,165,343,255,184,143,18,9,465,27,High
43,AS(2),894,544,1505,716,201,444,27,35,1563,18.3,Low
44,AS(2),226,215,451,250,151,66,10,7,750,21.5,High
45,AS(2),631,663,822,829,262,982,60,34,1124,20.6,High
46,AS(2),403,220,561,352,228,306,13,17,708,24.3,High
47,AS(2),427,305,598,543,398,272,8,1,814,19.2,High
48,AS(2),170,137,274,183,103,140,9,6,297,22.2,High
49,AS(2),261,245,321,373,310,410,24,13,534,15.5,Low
50,AS(2),524,531,772,486,521,361,60,57,899,14.8,Low
51,AS(2),549,653,1494,177,392,696,30,20,963,17.2,Low
52,AS(2),257,149,480,224,170,223,32,26,444,48,High
53,AS(2),555,327,730,443,173,232,31,12,899,20.5,High
54,AS(2),460,480,790,418,215,203,18,14,997,18.2,Low
55,AS(2),294,289,348,268,177,95,15,17,513,16.1,Low
56,AS(2),462,411,772,471,300,167,13,10,849,19.4,High
57,AS(2),239,242,352,260,228,123,20,25,431,15.4,Low
58,AS(2),129,85,299,17,120,37,3,0,135,23.6,High
59,AS(2),275,252,319,373,252,356,7,2,492,21.1,High
60,AS(2),347,271,565,451,314,375,41,33,755,13.1,Low
61,AS(2),549,386,841,562,179,795,60,44,971,21.5,High
62,AS(2),253,50,315,285,31,64,13,12,390,19.5,High
63,AS(2),389,287,462,326,130,161,19,16,609,17,Low
64,AS(2),318,212,376,303,163,304,18,16,690,21.3,High
65,AS(2),87,93,184,87,125,114,12,17,187,18.2,Low
66,AS(2),351,222,588,367,438,469,34,19,773,27.1,High
67,AS(2),96,79,87,72,45,68,5,8,165,14.1,Low
68,AS(2),44,49,93,76,10,25,2,2,153,18.2,Low
69,AS(2),103,137,171,153,93,141,3,1,279,23.5,High
70,AS(2),192,164,317,163,138,109,24,22,366,12.7,Low
71,AS(2),206,213,249,87,46,109,5,5,358,23.2,High
72,BH(3),517,600,612,478,457,301,24,17,660,23.9,High
73,BH(3),1374,1431,1566,716,1369,1553,54,52,1394,32.9,High
74,BH(3),983,1386,1292,554,1475,1398,87,80,1183,26.9,High
75,BH(3),702,836,789,518,636,571,45,29,736,21,High
76,BH(3),968,1094,1122,593,1148,1118,45,23,991,21.2,High
77,BH(3),814,789,931,604,764,921,50,35,963,31.3,High
78,BH(3),666,801,823,361,748,823,28,20,645,33.2,High
79,BH(3),788,1016,909,746,1059,652,8,6,1069,19.3,High
80,BH(3),1846,2353,2208,1108,2217,2257,86,64,2248,24.3,High
81,BH(3),1067,933,991,583,1375,1052,37,31,1217,21.5,High
82,BH(3),810,879,1143,574,1081,1058,38,35,955,19.4,High
83,BH(3),465,421,451,262,539,487,34,24,479,36.6,High
84,BH(3),956,993,1285,491,1063,1207,94,50,948,27.3,High
85,BH(3),892,1037,1125,625,667,600,70,47,1141,23.5,High
86,BH(3),200,252,198,210,190,144,33,40,278,25.3,High
87,BH(3),591,527,582,394,227,389,76,19,631,23.9,High
88,BH(3),316,374,354,202,377,340,25,18,355,25.6,High
89,BH(3),318,364,336,343,282,296,33,28,398,20.6,High
90,BH(3),822,834,944,757,887,526,38,31,1028,17.1,Low
91,BH(3),421,486,533,263,526,514,34,10,475,26.7,High
92,BH(3),1315,1405,1510,1099,1677,1024,91,72,1624,19.9,High
93,BH(3),894,797,935,538,998,838,44,26,959,27.8,High
94,BH(3),669,753,825,466,946,910,42,34,878,18.2,Low
95,BH(3),973,1038,1185,757,1211,935,49,60,1234,13.2,Low
96,BH(3),989,1149,890,716,1257,1099,47,50,1237,27.5,High
97,BH(3),1046,1245,1171,976,1379,1025,135,71,1319,16.8,Low
98,BH(3),745,888,1066,694,655,340,77,49,1065,25.8,High
99,BH(3),1326,1431,1588,624,1568,1568,180,149,1537,31.8,High
100,BH(3),276,340,326,295,273,156,10,5,419,20.5,High
101,BH(3),932,895,978,836,1115,808,38,54,1114,21.3,High
102,BH(3),1070,1057,1398,829,1568,1265,156,157,1439,28.8,High
103,BH(3),224,239,190,148,246,223,5,4,241,16.3,Low
104,BH(3),188,179,190,144,172,110,12,7,189,35.4,High
105,BH(3),622,660,790,606,813,636,56,45,781,16.2,Low
106,BH(3),1098,909,1098,865,1319,1028,114,98,1335,18.2,Low
107,BH(3),420,455,428,456,301,169,33,28,523,25.8,High
108,BH(3),1059,1062,1248,710,1408,1075,63,60,1282,19.6,High
109,BH(3),232,129,251,138,236,258,18,17,277,36.8,High
110,CH(4),465,438,473,379,501,402,80,36,591,20.4,High
111,CH(4),555,511,384,470,450,411,97,29,649,24,High
112,CH(4),145,113,120,136,111,82,21,12,202,19.4,High
113,CH(4),524,566,345,357,535,499,96,36,598,17.9,Low
114,CH(4),367,334,213,313,288,296,107,22,385,16.9,Low
115,CH(4),750,709,482,606,517,512,101,41,864,24.6,High
116,CH(4),590,578,545,471,246,419,114,25,747,17,Low
117,CH(4),618,670,439,590,663,410,155,47,1010,18.7247392,Low
118,CH(4),797,768,400,502,507,637,101,28,928,12,Low
119,CH(4),545,519,368,400,342,426,98,33,693,14.7,Low
120,CH(4),422,372,415,320,219,211,24,14,606,18.1,Low
121,CH(4),927,942,497,604,895,727,165,77,1056,14,Low
122,CH(4),1092,1118,658,753,931,741,214,84,1362,14.9,Low
123,CH(4),443,408,239,387,333,407,94,25,475,21.7,High
124,CH(4),1347,1301,809,820,1165,1004,364,53,1554,19.4,High
125,CH(4),508,524,475,485,347,386,92,58,567,17.5,Low
126,CH(4),82,132,98,123,87,28,18,8,402,20,High
127,CH(4),106,108,50,114,169,77,17,3,254,21.5,High
